entity_raw,canonical_entity
hypertrophic scarring,hypertrophic scarring
capsular contracture,capsular contracture
skin cancers,skin cancer
cranial defect,cranial defect
chondrosarcoma,chondrosarcoma
bone flap infection,bone flap infection
ceftriaxone,ceftriaxone
flagyl,flagyl
venous thromboembolism,venous thrombosis
frontal nerve block,frontal nerve block
nasal basal cell carcinoma,nasal basal cell carcinoma
minocycline,minocycline
basal cell carcinoma of the right medial canthus,basal cell carcinoma of the right medial canthus
brachiobasilic av fistula,brachiobasilic av fistula
subclavian vein occlusion,subclavian vein occlusion
right brachiobasilic arteriovenous fistula,right brachiocephalic fistula
outflow basilic fistula,outflow basilic fistula
hodgkin's lymphoma,hodgkins lymphoma
"injury to nerve, vessel or musculature",injury to nerve vessel or musculature
vicodin 1-2,vicodin 12
cardiomyopathy,cardiomyopathy
arteriovenous fistula,arteriovenous fistula
av fistula,av fistula
monckeberg's arteriosclerosis,monckebergs arteriosclerosis
"diabetes.,postoperative diagnoses,1",diabetespostoperative diagnoses1
right brachiocephalic fistula,right brachiocephalic fistula
brachiocephalic arteriovenous fistula,brachiocephalic arteriovenous fistula
nerve lesion,nerve lesion
"end-stage renal disease.,postoperative",endstage renal disease
displace subcapital fracture,displace subcapital fracture
displace subcapital,displace subcapital
tetralogy of fallot with pulmonary atresia,tetralogy of fallot with pulmonary atresia
pulmonary artery unifocalization,pulmonary artery unifocalization
pulmonary artery stenosis,pulmonary stenosis
lung disease,lung disease
"tetralogy of fallot with the pulmonary atresia.,3",tetralogy of fallot with pulmonary atresia
"discontinuous pulmonary arteries.,6",discontinuous pulmonary arteries6
"tetralogy of fallot with external conduit.,3",tetralogy of fallot with external conduit3
"atrioventricular septal defect repair.,4",atrioventricular septal defect4
pulmonary angioplasty,pulmonary stenosis
hammertoe deformity,hammertoe deformity
erythema of the right knee,erythema of the right knee
right septic,right septic
prepatellar,prepatellar
hemarthrosis,hemarthrosis
polyethylene,polyethylene
fatty necrotic,fatty necrosis
sprain,sprain
exsanguinating,exsanguinating
fissuring of the articular cartilage,fissuring of the articular cartilage
acl,acl
"condition.,due",conditiondue
chondral injury,chondral injury
anteroinferior glenoid erosions,anteroinferior glenoid erosions
impaction-type injury,impactiontype injury
infraspinatus tendons,infraspinatus tendons
scar stiffness,scar stiffness
peroneal nerve palsy,peroneal nerve palsy
left shoulder pain,left shoulder pain
partial pain,partial pain
"patellofemoral malalignment syndrome.,postoperative",patellofemoral malalignment syndromeprocedure
grade-iv chondromalacia,gradeiv chondromalacia
"patellofemoral malalignment syndrome.,procedure",patellofemoral malalignment syndromeprocedure
peel-back,peelback
right shoulder pain,right shoulder pain
abraded,abraded
glenoid labrum tear,glenoid labrum tear
degenerative tear,degenerative tear
"this.,another",thisanother
medial bordered scapular pain,medial bordered scapular pain
carpal tunnel syndrome chronic right hand,carpal tunnel disease
acromioclavicular arthritis,acromioclavicular arthritis
"chronic tendonitis.,postoperative diagnoses:,1",tendonitispostoperative diagnoses1
tendonitis,tendonitis
hemorrhagic bursitis,hemorrhagic bursitis
bucket-handle tear,buckethandle tear
shoulder impingement,shoulder impingement
"anterior dislocating left shoulder.,postoperative",anterior dislocating left shoulderprocedure
"anterior dislocating left shoulder.,procedure",anterior dislocating left shoulderprocedure
subdeltoid bursa,subdeltoid bursa
friable labral,friable labral
second digit hammertoe,second digit hammertoe
wear shoes without,wear shoes without
"phalanx.,then",phalanxthen
fibrous capsular,fibrous capsular
"zero.,gross",zerogross
grade-ii chondromalacia,gradeii chondromalacia
anterior lip articular cartilage delamination,anterior lip articular cartilage delamination
acute appendicitis,appendicitis
loose stools,loose stools
ovarian cysts,ovarian cysts
acute disease,disease
congenital myotonic muscular dystrophy,congenital myotonic muscular dystrophy
planovalgus,planovalgus
crawford subtalar arthrodesis,crawford subtalar arthrodesis
abnormal appendix,abnormal appendix
aortoiliac occlusive,aortoiliac occlusive
arteriosclerosis,arteriosclerosis
lower extremity claudication,lower extremity claudication
chloraseptic,chloraseptic
popliteal artery stenosis,popliteal artery stenosis
dual right renal artery,dual right renal artery
renal artery stenosis,renal artery stenosis
tibioperoneal trunk,tibioperoneal trunk
degenerative glenoid labrum tear,degenerative glenoid labrum tear
stenotic aortic valve,stenotic aortic valve
chronically occluded right coronary artery,chronically occluded right coronary artery
ovarian hemorrhagic,ovarian hemorrhagic
taenia,taenia
calcaneus fracture,calcaneus fracture
aortoiliac occlusive disease,aortoiliac occlusive disease
graft-to-side,grafttoside
cervical stenosis,cervical stenosis
left radiculopathy,left radiculopathy
"confirmed.,procedures",confirmedprocedures
tricalcium phosphate,tricalcium phosphate
achiness,achiness
impingement of the meniscus,impingement of the meniscus
notchplasty,notchplasty
neck pain,neck pain
hoarse voice,hoarse voice
injury to neurovascular structures.,injury to neurovascular structures
upper extremity radiculopathy,upper extremity pain
"titanium).,4",titanium4
peek,peek
fibromyalgia,fibromyalgia
vitoss,vitoss
upper extremity symptoms,upper extremity pain
neurologic deficit,neurologic deficit
platysmas,platysmas
teeth beneath the bellies of the longus colli muscles,teeth beneath the bellies of the longus colli muscles
"x2.,anesthesia",x2anesthesia
csf leakage,csf leakage
injury to the esophagus,injury to the esophagus
spondylotic,spondylotic
"cc.,operative",ccoperative
neurologic compression,neurologic compression
failure of the pain,failure of the pain
failure of the neurologic symptoms,failure of the neurologic symptoms
"injury to the sympathetic chains.,radical anterior discectomies",injury to the sympathetic chainsradical anterior discectomies
left neck pain,left neck pain
subarachnoid hemorrhage,subarachnoid hemorrhage
ruptured left posteroinferior cerebellar artery aneurysm,ruptured left posteroinferior cerebellar artery aneurysm
left chest pain,left chest pain
injury to the esophageus,injury to the esophagus
venous bleeders,venous bleeding
upper extremity pain,upper extremity pain
"tingling, shoulder pain",tingling shoulder pain
axial neck pain,axial neck pain
nerve vessel damage,nerve vessel damage
inferior spondylosis,inferior spondylosis
"spinal stenosis c3-c4.,postoperative",spinal stenosis c3c4postoperative
spinal stenosis,spinal stenosis
"tooth beneath the blades, the longus colli muscles",tooth beneath the blades the longus colli muscles
osteophytosis,osteophytosis
osteophyte,osteophyte
foramen stenosis,foramen stenosis
flexeril,flexeril
herniations,herniations
"c5.,4",c54
"anterior spine instrumentation.,4",anterior spine instrumentation4
machined,machined
upper extremity numbness,upper extremity numbness
muscle loss,muscle loss
platysmus,platysmus
methylprednisolone,methylprednisolone
spondylitic,spondylitic
"dura.,slowly",duraslowly
tissue-paper-thin,tissuepaperthin
"allograft.,3",allograft3
left arm pain,left arm pain
c6 radiculopathy,c6 radiculopathy
trimline,trimline
limb loss,limb loss
"trunk.,the",trunkthe
nonobstructive disease,nonobstructive disease
"plavix.,the right coronary artery",plavixthe right coronary artery
aortic wall stenosis,aortic stenosis
adenotonsillectomy,adenotonsillectomy
cleocin,cleocin
zithromax,zithromax
tannic acid,tannic acid
left anterior descending artery,left anterior descending artery
trileaflet aortic valve,trileaflet aortic valve
stenotic lesion,stenotic lesion
femoral artery saturation,femoral artery saturation
"shunt.,plan:,1",shuntplan1
arterial insufficiency,arterial insufficiency
left external iliac artery,left external iliac artery
"left external iliac artery stent placement.,6",left external iliac artery stent placement6
calcific disease,calcific disease
"femoral arteries.,our",femoral arteriesour
"balloon.,the left external iliac artery",balloonthe left external iliac artery
endometrial adenocarcinoma,endometrial cancer
general/epidural,generalepidural
mesothelioma of the ovary,mesothelioma of the ovary
bso,bso
paracolic,paracolic
hamstring tightness,hamstring tightness
afos,afos
adenoid curet,adenoid curet
ankle,ankle
tenodesis,tenodesis
"hernia.,anesthesia",herniaanesthesia
recurrently infected cyst of his mass,recurrently infected cyst of his mass
thoracic duct leak,thoracic duct leak
chylous ascites,chylous ascites
chylothorax,chylothorax
"that.,the lymphatic abnormality",thatthe lymphatic abnormality
intestinal and mesenteric lymphangiectasia,intestinal and mesenteric lymphangiectasia
abdominal abscess,abdominal abscess
diverticular abscess,diverticular abscess
cognitive-linguistic deficit,cognitivelinguistic deficit
methamphetamine,methamphetamine
aphasia,aphasia
sister-in-law,sisterinlaw
"visual deficit.,on",visual deficiton
communication deficits,communication deficits
"weeks):,1",weeks1
head gestures,head gestures
vaginal vault prolapse,vaginal prolapse
mets,mets
hand tremors,hand tremors
left facial droop,left facial droop
cognitive linguistic deficits,cognitive linguistic deficit
cognitive linguistic impairment,cognitive linguistic deficit
"independently.,she",independentlyshe
uterine papillary serous carcinoma,uterine papillary serous carcinoma
carboplatin,carboplatin
taxol,taxol
mucositis,mucositis
normal-appearing external genitalia,normalappearing external genitalia
finger occlusion,finger occlusion
head and neck cancer,head and neck cancer
forearm muscle cramping,forearm muscle cramping
phentermine,phentermine
laryngitis,laryngitis
vocal hoarseness,vocal hoarseness
cognitive linguistic deficit,cognitive linguistic deficit
tia/stroke,tiastroke
gastroesophageal reflux disorder,gastroesophageal reflux disease
valleculae,valleculae
epiglottic inversion,epiglottic inversion
bite,bite
advil,advil
bladder dysfunction,bladder obstruction
singulair,singulair
puffy,puffy
hoarse,hoarse
levall,levall
milk,milk
itchy watery,itchy watery
allergic rhinitis,allergic rhinitis
watery,watery
hemorrhoid,hemorrhoid
patanol eyedrops,patanol eyedrops
patanol,patanol
micronor,micronor
thrombocytosis,thrombocytosis
hydrea,hydrea
flomax q.d,flomax qd
vitamin d q.d,vitamin d qd
palmetto q.d,palmetto qd
vitamin c,vitamin c
hematologic malignancies,hematologic malignancies
bisphosphonate,bisphosphonate
vitamin d.,vitamin d
heroin,heroin
ideations,ideations
bipolar disorder,bipolar illness
psychiatric,psychiatric
necrotizing,necrotizing
fluoxetine,fluoxetine
antidepressant,antidepressant
status shortness of breath,status shortness of breath
tetracycline,tetracycline
pulmonary disorder,pulmonary disease
"arthritis.,objective",arthritisobjective
tinel,tinel
high-grade glioma,highgrade glioma
trazodone,trazodone
drug abuse,drug abuse
substance abuse,substance abuse
paxil,paxil
seroquel,seroquel
avalide,avalide
irbesartan,irbesartan
flovent,flovent
nasal mucosal edema,nasal mucosal edema
jugular venous distention,jugular venous distention
sleep-disordered,sleepdisordered
daytime sleepiness,daytime sleepiness
insomnia,insomnia
nicotine,nicotine
lower lobe pneumonitis,lower lobe pneumonitis
"pneumonia.,she",pneumoniashe
tramadol,tramadol
clonazepam,clonazepam
alprazolam,alprazolam
narcan,narcan
benzodiazepine toxicity,benzodiazepine toxicity
sleep apnea,sleep apnea
h2o,h2o
"treatment.,the",treatmentthe
"allergic rhinitis.,medications",allergic rhinitis2
flonase,flonase
adenoidal facies,adenoidal facies
gi bleed,gi bleed
atacand,atacand
cardura,cardura
complaint of sexual dysfunction,complaint of sexual dysfunction
lupus,lupus
plaquenil 200-mg b.i.d,plaquenil 200mg bid
aches,aches
epicondylitis,epicondylitis
ill,ill
pulmonary disease,pulmonary disease
chronic obstructive pulmonary disease/emphysema,obstructive lung disease
left-sided shoulder pain,leftsided shoulder pain
plexopathy,plexopathy
cord impingement,cord impingement
paracentral disc herniation,paracentral disc herniation
adhd,adhd
adderall,adderall
attention deficit hyperactivity disorder,attention deficit disorder
ritalin la,ritalin la
interstitial disease,interstitial disease
lupus pneumonitis,lupus pneumonitis
respiratory difficulties,respiratory difficulties
plaquenil,plaquenil
advair,advair
actonel,actonel
vitamin d,vitamin d
vitamin e,vitamin e
’s lupus,’s lupus
hydroxychloroquine,hydroxychloroquine
q-fever endocarditis,qfever endocarditis
warfarin,warfarin
pulmonary homograft valve,pulmonary homograft valve
pulmonary artery pseudoaneurysm,pulmonary artery pseudoaneurysm
examination of extremities,examination of extremities
embolic,embolic
q-fever,qfever
supraglottitis,supraglottitis
parapharyngeal cellulitis,parapharyngeal cellulitis
peritonsillar cellulitis,peritonsillar cellulitis
supraglottic edema,supraglottic edema
tonsils with small tonsil cyst,tonsils with small tonsil cyst
bloating,bloating
liver cirrhosis,liver cirrhosis
epigastric pain,epigastric pain
splenomegaly,splenomegaly
